codigo,descripcion,prec,tipo,arriba,abajo,categoria,proveedor,ean
175,comed.automatico x 850 gr,380,accesorio,0,0,,PER-ROS,
200,HIERBA GATERA,70,accesorio,0,0,,PER-ROS,
212,PALITOS FINOS X 200,281,accesorio,0,0,,PER-ROS,
226,"PELOTA OVALADA C/PINCHES,CARA,LUNARES XL",148,accesorio,0,0,,PER-ROS,
286,BOLSO PORTAMASCOTAS GRANDE,1200,accesorio,0,0,,PER-ROS,
291,BOLSO PORTAMASCOTAS CHICO,850,accesorio,0,0,,PER-ROS,
294,BOLSO PORTAMASCOTAS MEDIANO,1000,accesorio,0,0,,PER-ROS,
303,Chico,1700,accesorio,0,0,,PER-ROS,
304,Grande,2100,accesorio,0,0,,PER-ROS,
308,CANGURO JEAN OSITO PELUCHE TALLE S,834,accesorio,0,0,,PER-ROS,
311,CANGURO JEAN OSITO PELUCHE TALLE M,1072,accesorio,0,0,,PER-ROS,
385,caja locion surtida,160,accesorio,0,0,,PER-ROS,
389,JUGUETE CHORIZO SONRIENTE 20 CM,115,accesorio,0,0,,PER-ROS,
496,kit sanit.c.pala y bandeja,180,accesorio,0,0,,PER-ROS,
528,JUGUETE CUCURUCHO CON HUESITOS,113,accesorio,0,0,,PER-ROS,
582,PELOTA ENREDADA CHICA CON CASCABEL,122,accesorio,0,0,,PER-ROS,
583,KIT N° 23 HUESOS DE ALGODON,200,accesorio,0,0,,PER-ROS,
584,KIT N° 23 HUESOS DE ALGODON,95,accesorio,0,0,,PER-ROS,
585,KIT N° 23 HUESOS DE ALGODON,130,accesorio,0,0,,PER-ROS,
647,JUGUETE SANDALIA CON TACO CHINO 18 CM,152,accesorio,0,0,,PER-ROS,
670,"PALA JUNTA KK C/HUELLITAS, RESORTE,MANGO",825,accesorio,0,0,,PER-ROS,
838,KIT N° 23 HUESOS DE ALGODON,180,accesorio,0,0,,PER-ROS,
842,BEBEDERO AUTOMATICO,640,accesorio,0,0,,PER-ROS,
1136,PILOTO PLASTICO C/CAPUCHA T.00 20CM          O,270,accesorio,0,0,,PER-ROS,
1138,PILOTO PLASTICO C/CAPUCHA T.01 25CM          O,290,accesorio,0,0,,PER-ROS,
1139,PILOTO PLASTICO C/CAPUCHA T.02 30CM          O,350,accesorio,0,0,,PER-ROS,
1140,PILOTO PLASTICO C/CAPUCHA T.03 35CM          O,370,accesorio,0,0,,PER-ROS,
1141,PILOTO PLASTICO C/CAPUCHA T.04 40CM          O,390,accesorio,0,0,,PER-ROS,
1142,PILOTO PLASTICO C/CAPUCHA T.05 45CM          O,410,accesorio,0,0,,PER-ROS,
1143,PILOTO PLASTICO C/CAPUCHA T.06 50CM          O,450,accesorio,0,0,,PER-ROS,
1144,PILOTO PLASTICO C/CAPUCHA T.07 55CM          O,470,accesorio,0,0,,PER-ROS,
1145,PILOTO PLASTICO C/CAPUCHA T.08 60CM          O,510,accesorio,0,0,,PER-ROS,
1146,PILOTO PLASTICO C/CAPUCHA T.09 65CM          O,540,accesorio,0,0,,PER-ROS,
1147,PILOTO PLASTICO C/CAPUCHA T.10 70CM          O,590,accesorio,0,0,,PER-ROS,
1148,PILOTO PLASTICO C/CAPUCHA T.11 75CM          O,610,accesorio,0,0,,PER-ROS,
1149,PILOTO PLASTICO C/CAPUCHA T.12 80CM          O,650,accesorio,0,0,,PER-ROS,
1190,MOCHILA CON CARRITO P/PERROS,3900,accesorio,0,0,,PER-ROS,
1191, CARPET 47 x 34,1100,accesorio,0,0,,PER-ROS,
1223,MOISES LINEA PASION CHICO,1650,accesorio,0,0,,PER-ROS,
1224,MOISES LINEA PASION MEDIANO,1750,accesorio,0,0,,PER-ROS,
1988,COLCHITA PARA PERROS 70 X 55,260,accesorio,0,0,,PER-ROS,
2403,MOISES CUADRADO CON CORDERITO N°1,1400,accesorio,0,0,,PER-ROS,
2404,MOISES CUADRADO CON CORDERITO N° 2,1500,accesorio,0,0,,PER-ROS,
2405,MOISES CUADRADO CON CORDERITO N° 3,1600,accesorio,0,0,,PER-ROS,
2406,MOISES CUADRADO CON CORDERITO N°4,1700,accesorio,0,0,,PER-ROS,
2419,FASHION JEAN TALLE 01 (25),672,accesorio,0,0,,PER-ROS,
2420,FASHION JEAN TALLE 02 (30),601,accesorio,0,0,,PER-ROS,
2421,FASHION JEAN TALLE 03 (35),745,accesorio,0,0,,PER-ROS,
2422,FASHION JEAN TALLE 04 (40),625,accesorio,0,0,,PER-ROS,
2423,FASHION JEAN TALLE 05 (45),772,accesorio,0,0,,PER-ROS,
