codigo,descripcion,proveedor,kg,ean,categoria,tipo,arriba,abajo,precio
100102,OP ADULTO MEDIUM LARGE X2KG,oldprince,2,,,perro,0,7,0
100104,"OPADULTO MEDIUM LARGE X 7,5KG",oldprince,7.5,,,perro,0,3,0
100106,OPADULTO MEDIUM LARGE X15KG,oldprince,15,,,perro,0,0,0
100108,OP ADULTO SMALL BREEDS  X2KG,oldprince,2,,,perro,0,2,0
100110,"OP ADULTO SMALL BREEDS X7,5KG",oldprince,7.5,,,perro,0,4,0
100111,OP WEIGHT CONTROL X 15 KG,oldprince,15,,,perro,0,1,0
100113,OP DERMA DEFENSE X 2KG,oldprince,2,,,perro,0,2,0
100114,"OP  DERMA DEFENSE  X 7,5KG",oldprince,7.5,,,perro,0,4,0
100116,OP  DERMA DEFENSE  X 15 KG,oldprince,15,,,perro,0,3,0
100118,OP PUPPY MEDIUM LARGE X 2KG,oldprince,2,,,perro,0,1,0
100120,"OP PUPPY MEDIUM LARGE X7,5KG",oldprince,7.5,,,perro,0,5,0
100122,OPPUPPY MEDIUM LARGE X 15KG,oldprince,15,,,perro,0,2,0
100124,OP PUPPY SMALL BREEDS X2KG,oldprince,2,,,perro,0,2,0
100126,"OP PUPPY SMALL BREEDS X7,5KG",oldprince,7.5,,,perro,0,3,0
100128,OP CAT KITTEN X 1KG,oldprince,1,,,gato,0,2,0
100130,OP CAT ADULTO COMPLETE X1KG,oldprince,1,,,gato,0,1,0
100134,OP CAT URINARY X 1KG,oldprince,1,,,gato,0,0,0
100136,"OP CATURINARY X7,5KG",oldprince,7.5,,,gato,0,0,0
1231015,Gatos Castrados-Young Male,royal,1.5,7790187003057,Veterinary Care Nutrition (SECOS),gato,0,0,0
1231035,Gatos Castrados-Young Male,royal,3.5,7790187003064,Veterinary Care Nutrition (SECOS),gato,0,0,0
1232015,Gatos Castrados-Young Female,royal,1.5,7790187003095,Veterinary Care Nutrition (SECOS),gato,0,0,0
1232035,Gatos Castrados-Young Female,royal,3.5,7790187003101,Veterinary Care Nutrition (SECOS),gato,0,0,0
1233015,Mature Consult-Stage1,royal,1.5,7790187003170,Veterinary Care Nutrition (SECOS),gato,0,0,0
1233035,Mature Consult-Stage1,royal,3.5,7790187003187,Veterinary Care Nutrition (SECOS),gato,0,0,0
1234015,Senior Consult-Stage2,royal,1.5,7790187003194,Veterinary Care Nutrition (SECOS),gato,0,0,0
1234030,Senior Consult-Stage2,royal,3,7790187003200,Veterinary Care Nutrition (SECOS),gato,0,0,0
1235004,Gatos Castrados-Weight Control ,royal,0.4,7790187003125,Veterinary Care Nutrition (SECOS),gato,0,0,0
1235015,Gatos Castrados-Weight Control ,royal,1.5,7790187003132,Veterinary Care Nutrition (SECOS),gato,0,0,0
1235030,Gatos Castrados-Weight Control ,royal,3,7790187003149,Veterinary Care Nutrition (SECOS),gato,0,0,0
1235075,Gatos Castrados-Weight Control ,royal,7.5,7790187003156,Veterinary Care Nutrition (SECOS),gato,0,0,0
1235120,Gatos Castrados-Weight Control ,royal,12,7790187003163,Veterinary Care Nutrition (SECOS),gato,0,0,0
2006020,Diabetic Canine ,royal,2,7790187005013,Veterinary Diet Dog (SECOS),perro,0,0,0
2006100,Diabetic Canine ,royal,10,7790187005020,Veterinary Diet Dog (SECOS),perro,0,0,0
2019020,Hepatic,royal,2,7790187003811,Veterinary Diet Dog (SECOS),perro,0,0,0
2019100,Hepatic,royal,10,7790187003828,Veterinary Diet Dog (SECOS),perro,0,0,0
2028020,Mobility Support,royal,2,7790187339200,Veterinary Diet Dog (SECOS),perro,0,0,0
2028100,Mobility Support,royal,10,7790187339217,Veterinary Diet Dog (SECOS),perro,0,0,0
2029150,Mobility Larger Dogs,royal,15,7790187339224,Veterinary Diet Dog (SECOS),perro,0,0,0
2045020,Calm Dog,royal,2,7790187003231,Veterinary Diet Dog (SECOS),perro,0,0,0
2046020,Cardiac,royal,2,7790187002784,Veterinary Diet Dog (SECOS),perro,0,0,0
2046100,Cardiac,royal,10,7790187002791,Veterinary Diet Dog (SECOS),perro,0,0,0
2053015,Obesity,royal,1.5,7790187004955,Veterinary Diet Dog (SECOS),perro,0,0,0
2053075,Obesity,royal,7.5,7790187004962,Veterinary Diet Dog (SECOS),perro,0,0,0
2053150,Obesity,royal,15,7790187004979,Veterinary Diet Dog (SECOS),perro,0,0,0
2057015,Renal,royal,1.5,7790187338517,Veterinary Diet Dog (SECOS),perro,0,0,0
2057100,Renal,royal,10,7790187338524,Veterinary Diet Dog (SECOS),perro,0,0,0
2070020,Gastrointestinal Dog,royal,2,7790187339149,Veterinary Diet Dog (SECOS),perro,0,0,0
2070100,Gastrointestinal Dog,royal,10,7790187339156,Veterinary Diet Dog (SECOS),perro,0,0,0
2071020,Gastrointestinal Jr. Dog,royal,2,7790187339132,Veterinary Diet Dog (SECOS),perro,0,0,0
2072015,Satiety Support,royal,1.5,7790187339101,Veterinary Diet Dog (SECOS),perro,0,0,0
2072075,Satiety Support,royal,7.5,7790187339118,Veterinary Diet Dog (SECOS),perro,0,0,0
2072150,Satiety Support,royal,15,7790187339125,Veterinary Diet Dog (SECOS),perro,0,0,0
2073100,Gastrointestinal Moderate Calorie Dog,royal,10,7790187339163,Veterinary Diet Dog (SECOS),perro,0,0,0
2104015,Urinary,royal,1.5,7790187338838,Veterinary Diet Dog (SECOS),perro,0,0,0
2104100,Urinary,royal,10,7790187338845,Veterinary Diet Dog (SECOS),perro,0,0,0
2105115,Diabetic Feline ,royal,1.5,7790187005006,Veterinary Diet Cat (SECOS),gato,0,0,0
2114020,Calm Cat,royal,2,7790187003248,Veterinary Diet Cat (SECOS),gato,0,0,0
2117015,Hepatic,royal,1.5,7790187003804,Veterinary Diet Cat (SECOS),gato,0,0,0
2120020,Renal,royal,2,7790187338531,Veterinary Diet Cat (SECOS),gato,0,0,0
2123015,Obesity,royal,1.5,7790187004993,Veterinary Diet Cat (SECOS),gato,0,0,0
2125020,Satiety Feline,royal,2,7790187004986,Veterinary Diet Cat (SECOS),gato,0,0,0
2131020,Gastrointestinal Cat,royal,2,7790187339170,Veterinary Diet Cat (SECOS),gato,0,0,0
2132020,Fibre Response Cat,royal,2,7790187339194,Veterinary Diet Cat (SECOS),gato,0,0,0
2133020,Gastrointestinal Moderate Calorie Cat ,royal,2,7790187339187,Veterinary Diet Cat (SECOS),gato,0,0,0
2209004,Urinary S/O High Dilution,royal,0.4,7790187338852,Veterinary Diet Cat (SECOS),gato,0,0,0
2209015,Urinary S/O High Dilution,royal,1.5,7790187338869,Veterinary Diet Cat (SECOS),gato,0,0,0
2209075,Urinary S/O High Dilution,royal,7.5,7790187338876,Veterinary Diet Cat (SECOS),gato,0,0,0
2410100,Starter Giant ,royal,10,7790187001916,Giant,perro,0,0,0
2411010,Giant Puppy,royal,1,7790187004740,Giant,perro,0,0,0
2411150,Giant Puppy,royal,15,7790187002074,Giant,perro,0,0,0
2412150,Giant Junior,royal,15,7790187002098,Giant,perro,0,0,0
2415030,Maxi Puppy,royal,3,7790187339750,Maxi,perro,0,0,0
2415100,Starter Maxi,royal,10,7790187001909,Maxi,perro,0,0,0
2415150,Maxi Puppy,royal,15,7790187339767,Maxi,perro,0,0,0
2416010,Maxi Puppy,royal,1,7790187339743,Maxi,perro,0,0,0
2425030,Starter Medium,royal,3,7790187004771,Medium,perro,0,0,0
2427010,Medium Junior,royal,1,7790187339682,Medium,perro,0,0,0
2427030,Medium Junior,royal,3,7790187339699,Medium,perro,0,0,0
2427150,Medium Junior,royal,15,7790187339705,Medium,perro,0,0,0
2436010,Starter Mini,royal,1,7790187001893,Mini,perro,0,0,0
2436030,Starter Mini,royal,3,7790187001923,Mini,perro,0,0,0
2437010,Mini Junior,royal,1,7790187001985,Mini,perro,0,0,0
2437030,Mini Junior,royal,3,7790187001992,Mini,perro,0,0,0
2437075,Mini Junior,royal,7.5,7790187002005,Mini,perro,0,0,0
2437078,MINI JUNIOR Can (4x195gr),royal,0.78,7790187339927,Mini (HÚMEDOS),perro,0,0,0
2437150,Mini Junior,royal,15,7790187002234,Mini,perro,0,0,0
2450110,X- Small Junior ,royal,1,7790187003521,X-Small,perro,0,0,0
2450210,X- Small Adulto,royal,1,7790187003538,X-Small,perro,0,0,0
2451010,Mini Adult,royal,1,7790187003569,Mini,perro,0,0,0
2451030,Mini Adult,royal,3,7790187003576,Mini,perro,0,0,0
2451075,Mini Adult,royal,7.5,7790187003590,Mini,perro,0,0,0
2452010,Mini Adult 8+,royal,1,7790187003613,Mini,perro,0,0,0
2452030,Mini Adult 8+,royal,3,7790187003620,Mini,perro,0,0,0
2452078,MINI MATURE+8 Can (4x195gr),royal,0.78,7790187339934,Mini (HÚMEDOS),perro,0,0,0
2453010,Mini Weight Care,royal,1,7790187003378,Mini,perro,0,0,0
2453030,Mini Weight Care,royal,3,7790187003385,Mini,perro,0,0,0
2453078,MINI ADULT LIGHT Can (4x195gr),royal,0.78,7790187339910,Mini (HÚMEDOS),perro,0,0,0
2454010,Mini Indoor,royal,1,7790187003651,Mini,perro,0,0,0
2454030,Mini Indoor,royal,3,7790187003644,Mini,perro,0,0,0
2455010,Mini Dermacomfort,royal,1,7790187003699,Mini,perro,0,0,0
2455030,Mini Dermacomfort,royal,3,7790187003705,Mini,perro,0,0,0
2456010,Mini Ageing 12+,royal,1,7790187003637,Mini,perro,0,0,0
2456030,Mini Ageing 12+,royal,3,7790187003361,Mini,perro,0,0,0
2501030,Maxi Adult,royal,3,7790187004085,Maxi,perro,0,0,0
2501150,Maxi Adult,royal,15,7790187004078,Maxi,perro,0,0,0
2502150,Maxi Ageing 8+,royal,15,7790187004139,Maxi,perro,0,0,0
2503150,Maxi Weight Care,royal,15,7790187004153,Maxi,perro,0,0,0
2504150,Maxi Dermacomfort,royal,15,7790187004122,Maxi,perro,0,0,0
