codigo,descripcion,kg, ean ,categoria,tipo,arriba,abajo,precio
3670004,Babycat 34,"0,4", 7790187100015 ,Growth,gato,0,0,0
3670020,Babycat 34,2, 7790187100022 ,Growth,gato,0,0,0
3683004,Kitten,"0,4", 7790187338678 ,Growth,gato,0,0,0
3680020,Kitten,2, 7790187100060 ,Growth,gato,0,0,0
3683075,Kitten,"7,5", 7790187338692 ,Growth,gato,0,0,0
3613004,Indoor,"0,4", 7790187338708 ,Indoor,gato,0,0,0
3613015,Indoor,"1,5", 7790187338715 ,Indoor,gato,0,0,0
3613075,Indoor,"7,5", 7790187338722 ,Indoor,gato,0,0,0
3623015,Indoor longhair ,"1,5", 7790187339460 ,Indoor,gato,0,0,0
3663004,Indoor 7+,"0,4", 7790187338739 ,Indoor,gato,0,0,0
3663015,Indoor 7+,"1,5", 7790187338746 ,Indoor,gato,0,0,0
3663075,Indoor 7+,"7,5",7790187338753 ,Indoor,gato,0,0,0
3603004,Fit ,"0,4", 7790187339323 ,In & Outdoor,gato,0,0,0
3603015,Fit ,"1,5", 7790187339330 ,In & Outdoor,gato,0,0,0
3603075,Fit ,"7,5", 7790187339347 ,In & Outdoor,gato,0,0,0
3603150,Fit ,15, 7790187339354 ,In & Outdoor,gato,0,0,0
3653015,Active 7+,"1,5",7790187339415,In & Outdoor,gato,0,0,0
3643004,Exigent ,"0,4", 7790187339392 ,Special,gato,0,0,0
3643015,Exigent ,"1,5", 7790187339408 ,Special,gato,0,0,0
3630004,Sensible 33,"0,4", 7790187100381 ,Special,gato,0,0,0
3630020,Sensible 34,2, 7790187100398 ,Special,gato,0,0,0
3630075,Sensible 35,"7,5", 7790187005266 ,Special,gato,0,0,0
3363015,Persian,"1,5", 7790187339422 ,Feline Breed Nutrition,gato,0,0,0
3363075,Persian,"7,5", 7790187339439 ,Feline Breed Nutrition,gato,0,0,0
3364015,Siamese,"1,5", 7790187339446 ,Feline Breed Nutrition,gato,0,0,0
3364075,Siamese,"7,5", 7790187339453 ,Feline Breed Nutrition,gato,0,0,0
3401198,"FHN KITTEN INSTINCTIVE (12x0,165)","1,98", 7790187339002 ,Feline Health Nutrition (HÚMEDOS),gato,0,0,0
3393102,INSTINCTIVE Pouch (12x85g),"1,02", 9003579308936 ,Feline Health Nutrition (HÚMEDOS),gato,0,0,0
3394102,INSTINCTIVE 7+ Pouch (12x85g),"1,02", 9003579310168 ,Feline Health Nutrition (HÚMEDOS),gato,0,0,0
3398102,ULTRA LIGHT Pouch (12x85g),"1,02", 9003579308769 ,Feline Care Nutrition (HÚMEDOS),gato,0,0,0
3391102,DIGEST SENSITIVE Pouch (12x85g),"1,02", 9003579309537 ,Feline Care Nutrition (HÚMEDOS),gato,0,0,0
3396102,INTENSE BEAUTY Pouch (12x85g),"1,02", 9003579308929 ,Feline Care Nutrition (HÚMEDOS),gato,0,0,0
3375004,Light,"0,4", 7790187005051 ,Feline Care Nutrition ,gato,0,0,0
3375015,Light,"1,5", 7790187005068 ,Feline Care Nutrition ,gato,0,0,0
3375075,Light,"7,5", 7790187005075 ,Feline Care Nutrition ,gato,0,0,0
3376020,Hair & Skin Care,2, 7790187005235 ,Feline Care Nutrition ,gato,0,0,0
3377015,Hairball Care,"1,5", 7790187005099 ,Feline Care Nutrition ,gato,0,0,0
3378020,Digestive Care,2, 7790187005297 ,Feline Care Nutrition ,gato,0,0,0
