PRODUCTO,CÓDIGO,Kg,tipo,arriba,abajo
 PRO PLAN PUPPY SMALL BREED ,12294994,1,perro,,
 PRO PLAN PUPPY SMALL BREED ,12294993,3,perro,,
 PRO PLAN PUPPY SMALL BREED ,12285348,"7,5",perro,,
 PRO-PLAN  PUPPY COMPLETE ,12295118,1,perro,,
 PRO-PLAN  PUPPY COMPLETE ,12294996,3,perro,,
 PRO-PLAN  PUPPY COMPLETE ,12232692,"7,5",perro,,
 PRO-PLAN  PUPPY COMPLETE ,12232694,15,perro,,
 PRO PLAN PUPPY LARGE BREED ,12294995,3,perro,,
 PRO PLAN PUPPY LARGE BREED ,12232678,15,perro,,
 PRO PLAN ADULT DOG SMALL BREED ,12333789,1,perro,,
 PRO PLAN ADULT DOG SMALL BREED ,12333810,3,perro,,
 PRO PLAN ADULT DOG SMALL BREED ,12334191,"7,5",perro,,
 PRO PLAN DELICATE DOG (SMALL BREED) ,12345750,1,perro,,
 PRO PLAN DELICATE DOG (SMALL BREED) ,12345809,3,perro,,
 PRO PLAN DELICATE DOG (SMALL BREED) ,12345073,"7,5",perro,,
PRO PLAN EXIGENT DOG (SMALL BREED),12294991,1,perro,,
PRO PLAN EXIGENT DOG (SMALL BREED),12294992,3,perro,,
PRO PLAN EXIGENT DOG (SMALL BREED),12232717,"7,5",perro,,
PRO PLAN ADULT DOG COMPLETE,12333786,1,perro,,
PRO PLAN ADULT DOG COMPLETE,12334128,3,perro,,
PRO PLAN ADULT DOG COMPLETE,12333787,15,perro,,
PRO PLAN ADULT DOG LARGE BREED,12334126,3,perro,,
PRO PLAN ADULT DOG LARGE BREED,12334100,15,perro,,
REDUCED CALORIE RAZA PEQUEÑA,12314533,1,perro,,
REDUCED CALORIE RAZA PEQUEÑA,12314534,3,perro,,
REDUCED CALORIE RAZA PEQUEÑA,12314535,"7,5",perro,,
REDUCED CALORIE RAZA MEDIANA & GRANDE,12314575,3,perro,,
REDUCED CALORIE RAZA MEDIANA & GRANDE,12314537,15,perro,,
ACTIVE MIND RAZAS PEQUEÑAS(+ de 7 años ,12319027,1,perro,,
ACTIVE MIND RAZAS PEQUEÑAS(+ de 7 años ,12319028,3,perro,,
ACTIVE MIND RAZAS PEQUEÑAS(+ de 7 años ,12319026,"7,5",perro,,
ACTIVE MIND RAZAS PEQUEÑAS(+ de 7 ,12319027,1,perro,,
ACTIVE MIND RAZAS PEQUEÑAS(+ de 7 ,12319028,3,perro,,
ACTIVE MIND RAZAS PEQUEÑAS(+ de 7 ,12319026,"7,5",perro,,
ACTIVE MIND RAZAS MED & GR (+ de 7 años de edad),12319024,3,perro,,
ACTIVE MIND RAZAS MED & GR (+ de 7 ,12319025,15,perro,,
SENSITIVE SKIN RAZA PEQUEÑA,12314530,1,perro,,
SENSITIVE SKIN RAZA PEQUEÑA,12314574,3,perro,,
SENSITIVE SKIN RAZA PEQUEÑA,12314538,"7,5",perro,,
SENSITIVE SKIN RAZA MEDIANA & GRANDE,12314573,3,perro,,
SENSITIVE SKIN RAZA MEDIANA & GRANDE,12314529,15,perro,,
 EN (GASTROENTERIC) GASTROENTÉRICO ,12304947,"1,5",perro,,
 EN (GASTROENTERIC) GASTROENTÉRICO ,12305049,"7,5",perro,,
 NF (KIDNEY FUNCTION) NEFROLÓGICO ,12305047,"1,5",perro,,
 NF (KIDNEY FUNCTION) NEFROLÓGICO ,12305060,"7,5",perro,,
 OM (OBESITY MANAGEMENT) OBESIDAD ,12305048,"1,5",perro,,
 OM (OBESITY MANAGEMENT) OBESIDAD ,12305061,"7,5",perro,,
 HA (HYPOALLERGENIC) HIPOALERGÉNICO ,12274252,3,perro,,
 HA (HYPOALLERGENIC) HIPOALERGÉNICO ,12274225,11,perro,,
EXCELLENT PUPPY SMALL BREED CH&R ,12286515,1,perro,,
EXCELLENT PUPPY SMALL BREED CH&R ,12286514,3,perro,,
EXCELLENT PUPPY SMALL BREED CH&R ,12286513,15,perro,,
EXCELLENT PUPPY MEDIUM & LARGE BREED CH&R ,12286518,1,perro,,
EXCELLENT PUPPY MEDIUM & LARGE BREED ,12286519,3,perro,,
EXCELLENT PUPPY MEDIUM & LARGE BREED ,12286517,15,perro,,
EXCELLENT PUPPY MEDIUM & LARGE BREED ,12286516,20,perro,,
EXCELLENT FORMULA PUPPY ,12286478,15,perro,,
EXCELLENT FORMULA PUPPY ,12286479,20,perro,,
EXCELLENT ADULT DOG SMALL BREED ,12286476,1,perro,,
EXCELLENT ADULT DOG SMALL BREED ,12286477,3,perro,,
EXCELLENT ADULT DOG SMALL BREED ,12286504,15,perro,,
EXCELLENT ADULT DOG MEDIUM & LARGE ,12286473,3,perro,,
EXCELLENT ADULT DOG MEDIUM & LARGE ,12286474,15,perro,,
EXCELLENT ADULT DOG MEDIUM & LARGE ,12286475,20,perro,,
EXCELENT REDUCED CALORIE DOG,12286512,3,perro,,
